"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,,,Date,Annual
1926,72.49060155,1926,38.806699,117.397,3.68,Homer,1926,6.064232931,Grebler,1926,,ENR,1926,17.9,BLS,,1926,17.9
1927,71.38030121,1927,39.90826985,119.035,3.34,Homer,1927,5.837912276,Grebler,1927,,ENR,1927,17.5,BLS,,1927,17.5
1928,73.28212987,1928,40.80371925,120.509,3.33,Homer,1928,5.924958682,Grebler,1928,,ENR,1928,17.3,BLS,,1928,17.3
1929,72.61432988,1929,41.93969439,121.878,3.6,Homer,1929,5.803093714,Grebler,1929,,ENR,1929,17.1,BLS,,1929,17.1
1930,69.4919137,1930,40.62221708,123.188,3.29,Homer,1930,5.553560684,Grebler,1930,,ENR,1930,17.1,BLS,,1930,17.1
1931,68.64520321,1931,39.67346769,124.149,3.34,Homer,1931,5.100919374,Grebler,1931,,ENR,1931,15.9,BLS,,1931,15.9
1932,68.33719351,1932,34.39721356,124.949,3.68,Homer,1932,4.567034753,Grebler,1932,,ENR,1932,14.3,BLS,,1932,14.3
1933,72.86594698,1933,43.07844416,125.69,3.31,Homer,1933,4.392941941,Grebler,1933,,ENR,1933,12.9,BLS,,1933,12.9
1934,73.27941113,1934,47.50403985,126.485,3.12,Homer,1934,4.520610003,Five-CityMedian,1934,,ENR,1934,13.2,BLS,,1934,13.2
1935,78.06999903,1935,45.83077321,127.362,2.79,Homer,1935,4.962085259,Five-CityMedian,1935,,ENR,1935,13.6,BLS,,1935,13.6
1936,79.41489505,1936,46.79908534,128.181,2.65,Homer,1936,5.121795008,Five-CityMedian,1936,,ENR,1936,13.8,BLS,,1936,13.8
1937,79.71761781,1937,52.19452665,128.961,2.68,Homer,1937,5.253086651,Five-CityMedian,1937,,ENR,1937,14.1,BLS,,1937,14.1
1938,78.46465294,1938,52.09138282,129.969,2.56,Homer,1938,5.207191412,Five-CityMedian,1938,,ENR,1938,14.2,BLS,,1938,14.2
1939,78.54968493,1939,52.83554543,131.028,2.36,Homer,1939,5.139414232,Five-CityMedian,1939,,ENR,1939,14,BLS,,1939,14
1940,81.73080633,1940,54.83643871,132.122,2.21,Homer,1940,5.309354499,Five-CityMedian,1940,,ENR,1940,13.9,BLS,,1940,13.9
1941,73.81588343,1941,56.18900573,133.402,1.95,Homer,1941,4.864184889,Five-CityMedian,1941,,ENR,1941,14.1,BLS,,1941,14.1
1942,68.50282683,1942,53.09349646,134.86,2.46,Homer,1942,5.026310176,Five-CityMedian,1942,,ENR,1942,15.7,BLS,,1942,15.7
1943,70.9229742,1943,50.87879093,136.739,2.47,Homer,1943,5.601634705,Five-CityMedian,1943,,ENR,1943,16.9,BLS,,1943,16.9
1944,80.30899579,1944,50.7115189,138.397,2.48,Homer,1944,6.530622547,Five-CityMedian,1944,,ENR,1944,17.4,BLS,,1944,17.4
1945,87.75004612,1945,50.41571181,139.928,2.37,Homer,1945,7.299758551,Five-CityMedian,1945,,ENR,1945,17.8,BLS,,1945,17.8
1946,106.5058955,1946,54.05276417,141.389,2.19,Homer,1946,9.059123412,Five-CityMedian,1946,,ENR,1946,18.2,BLS,,1946,18.2
1947,109.3296707,1947,54.66305279,144.126,2.25,Homer,1947,10.98544464,Five-CityMedian,1947,,ENR,1947,21.5,BLS,,1947,21.5
1948,101.2225795,1948,54.0249082,146.631,2.44,Homer,1948,11.21158171,Five-CityMedian,1948,,ENR,1948,23.7,BLS,,1948,23.7
1949,100.0466076,1949,55.07055159,149.188,2.31,Homer,1949,11.22159909,Five-CityMedian,1949,,ENR,1949,24,BLS,,1949,24
1950,105.8948393,1950,59.9171862,151.684,2.32,Homer,1950,11.63010934,Five-CityMedian,1950,,ENR,1950,23.5,BLS,,1950,23.5
1951,103.8986687,1951,59.2786986,154.287,2.57,Homer,1951,12.33345743,Five-CityMedian,1951,,ENR,1951,25.4,BLS,,1951,25.4
1952,103.9743275,1952,58.94343772,156.954,2.68,Homer,1952,12.87695369,Five-CityMedian,1952,,ENR,1952,26.5,BLS,,1952,26.5
1953.041667,114.7133093,1953,60.8392201,159.565,2.83,Homer,1953.041667,14.26056016,PHCPI,1953,,ENR,1953.041667,26.60,BLS,,1953,26.6
1953.125,115.1461897,1954,62.25447619,162.391,2.48,Fed. Res.,1953.125,14.26056016,PHCPI,1954,,ENR,1953.125,26.50,BLS,,1954,26.9
1953.208333,114.7133093,1955,65.95528267,165.275,2.61,Fed. Res.,1953.208333,14.26056016,PHCPI,1955,,ENR,1953.208333,26.60,BLS,,1955,26.7
1953.291667,114.9797746,1956,68.79148786,168.221,2.9,Fed. Res.,1953.291667,14.29368573,PHCPI,1956,,ENR,1953.291667,26.60,BLS,,1956,26.8
1953.375,114.6818724,1957,69.24632104,171.274,3.46,Fed. Res.,1953.375,14.31024852,PHCPI,1957,,ENR,1953.375,26.70,BLS,,1957,27.6
1953.458333,114.2539549,1958,68.9257142,174.141,3.09,Fed. Res.,1953.458333,14.31024852,PHCPI,1958,,ENR,1953.458333,26.80,BLS,,1958,28.6
1953.541667,114.5184317,1959,70.95296772,177.13,4.02,Fed. Res.,1953.541667,14.3433741,PHCPI,1959,,ENR,1953.541667,26.80,BLS,,1959,29
1953.625,114.2244594,1960,71.63614258,180.76,4.72,Fed. Res.,1953.625,14.35993688,PHCPI,1960,,ENR,1953.625,26.90,BLS,,1960,29.3
1953.708333,114.3562062,1961,71.568197,183.742,3.84,Fed. Res.,1953.708333,14.37649967,PHCPI,1961,,ENR,1953.708333,26.90,BLS,,1961,29.8
1953.791667,113.9326647,1962,72.59299982,186.59,4.08,Fed. Res.,1953.791667,14.37649967,PHCPI,1962,,ENR,1953.791667,27.00,BLS,,1962,30
