Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TDGXUSAM,"United States Exports of Goods, Balance of Payments Basis (Mil. of $, SA)",Balance of Payments,United States Dollar,United States,,,,,,,National Currency,Millions,Monthly,SA,Annual From Dec 1790 To Jul 1866<BR>Monthly From Aug 1866 To Feb 2019<BR>,"SOURCE: Pre 1866 data are from B. R. Mitchell, International Historical Statistics: The Americas 1750-2000, Fourth Edition, Stockton Press, 2003<br />Dat from   1866-1909 DATA ARE FROM MONTHLY SUMARY OF COMMERCE AND FINANCE, DECEMBER, 1910 SUPPLEMENT""CALENDAR YEAR STATEMENTS,"" 1910, PP. 1120-1126.  1910-JUNE, 1914 DATA ARE FROM SUCCESSIVE ISSUES OF MONTHLY SUMMARY OF COMMERCE AND FINANCE.  BEGINNING WITH JULY, 1914 ENTRIES, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE, SUCCESSIVE ISSUES. 1942-1944 DATA ARE FROM FOREIGN COMMERCE AND NAVIGATION; BEGINNING WITH 1945, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE OF THE UNITED STATES (ISSUED QUARTERLY BEGINNING IN APRIL, 1951.  BEGINNING WITH 1946 DATA, SEE SUMMARY REPORT  FT 900-E, TOTAL EXPORT TRADE.  REVISED BACK FIGURES MAY BE FOUND IN WORLD TRADE INFORMATION SERVICE   STATISTICAL REPORTS, PART 3, TOTAL EXPORT AND IMPORT TRADE OF THE UNITED STATES (THROUGH THE 1962 ISSUES); UNITED STATES DEPARTMENT OF COMMERCE, OVERSEAS BUSINESS (BUREAU OF INTERNATIONAL COMMERCE) 1962-1965 ISSUES; BUREAU OF THE CENSUS, HIGHLIGHTS OF UNITED STATES EXPORT AND IMPORT TRADE (FT 990), MONTHLY, BEGINNING IN 1967.  SCATTERED REVISIONS FOR 1946-1963 ARE FROM 1963 ISSUE OF FOREIGN COMMERCE AND NAVIGATION (PREPRINT TABLE /21/66).Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close,Percent_Gdp,Annual_Percent_Change,,,,,,,,,,
12/31/1939,TDGXUSAM,,,,3177.1,3.4,,,,,,,,,,,
1/31/1940,TDGXUSAM,,,,3334.3,3.57,,,,,,,,,,,
2/29/1940,TDGXUSAM,,,,3462.7,3.7,,,,,,,,,,,
3/31/1940,TDGXUSAM,,,,3545.7,3.79,,,,,,,,,,,
4/30/1940,TDGXUSAM,,,,3637.6,3.89,,,,,,,,,,,
5/31/1940,TDGXUSAM,,,,3711.8,3.97,,,,,,,,,,,
6/30/1940,TDGXUSAM,,,,3825.3,4.09,,,,,,,,,,,
7/31/1940,TDGXUSAM,,,,3912.4,4.18,,,,,,,,,,,
