"date","housing_price"
1965-12-16,109.3286993
1966-01-16,109.6630378
1966-02-15,108.7561445
1966-03-18,108.4173404
1966-04-17,107.8557466
1966-05-17,108.0751886
1966-06-17,107.9603879
1966-07-17,107.7372479
1966-08-17,106.7531679
1966-09-16,106.7531679
1966-10-16,106.5350925
1966-11-16,106.5350925
1966-12-16,106.9659726
1967-01-16,106.9659726
1967-02-15,106.9659726
1967-03-18,105.8900782
1967-04-17,105.9984451
1967-05-17,106.3196525
1967-06-17,106.2132264
1967-07-17,105.8952228
1967-08-17,106.2138618
1967-09-16,105.8977491
1967-10-16,106.0041639
1967-11-16,106.0050973
1967-12-16,106.2151101
1968-01-16,105.4882183
1968-02-15,105.6979002
1968-03-17,105.1830965
1968-04-16,104.8773316
1968-05-17,104.2651665
1968-06-16,104.4812724
1968-07-17,104.2887136
1968-08-16,104.2945163
1968-09-16,103.9973809
1968-10-16,104.1109345
1968-11-16,105.0181878
1968-12-16,105.6208379
1969-01-16,105.8219013
1969-02-15,105.725688
1969-03-18,105.730624
1969-04-17,105.2457166
1969-05-17,105.4433916
1969-06-17,105.1576891
1969-07-17,105.5492202
1969-08-17,105.6491682
1969-09-16,106.1286019
1969-10-16,106.4146656
1969-11-16,106.3196525
1969-12-16,106.4136575
1970-01-16,107.1634593
1970-02-15,107.3455439
1970-03-18,107.3401727
1970-04-17,106.964014
1970-05-17,107.5132237
1970-06-17,107.6897511
1970-07-17,107.4101105
1970-08-17,108.409697
1970-09-16,108.9414807
1970-10-16,108.9281719
1970-11-16,109.0044922
1970-12-16,109.0800455
1971-01-16,109.3471803
1971-02-15,108.8066619
1971-03-18,108.5346453
1971-04-17,108.6175004
1971-05-17,108.8699171
1971-06-17,109.2002342
1971-07-17,109.1060808
1971-08-17,109.1861137
1971-09-16,109.4467011
1971-10-16,109.5257056
1971-11-16,110.3922064
1971-12-16,110.1137034
1972-01-16,110.4586171
1972-02-15,110.1811411
1972-03-17,109.8293995
1972-04-16,109.735545
1972-05-17,109.8125257
1972-06-16,110.2290882
1972-07-17,110.8025018
1972-08-16,110.9605897
1972-09-16,110.6128451
1972-10-16,110.0060707
1972-11-16,109.8302071
1972-12-16,109.655171
1973-01-16,109.1481879
1973-02-15,108.3849138
1973-03-18,107.4655148
1973-04-17,106.7260732
1973-05-17,106.2389238
1973-06-17,105.7583874
1973-07-17,105.4396554
1973-08-17,104.512297
1973-09-16,104.6731092
1973-10-16,104.5321145
1973-11-16,104.3121645
1973-12-16,104.3252002
1974-01-16,104.2662687
1974-02-15,103.7667795
1974-03-18,103.5763979
1974-04-17,103.513995
